Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Strokes,[],Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pool Swimming,2022-12-30 09:08:50,false,"Pool Swimming","1,000","240","00:27:47","136","175","2.8","0","0","2:21","2:02","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","615","101","26","0","0:00","0.0","0:00","No","00:10.22.3","6","0.0","00:23:34","00:27:53","--","--"
Pool Swimming,2022-12-28 07:29:45,false,"Pool Swimming","1,200","287","00:34:19","148","176","3.4","0","0","2:25","1:58","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","761","104","26","0","0:00","0.0","0:00","No","01:10.33.3","6","0.0","00:28:56","00:34:25","--","--"
Pool Swimming,2022-12-21 06:04:25,false,"Pool Swimming","800","192","00:25:40","134","152","2.6","0","0","2:27","2:02","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","492","104","25","0","0:00","0.0","0:00","No","00:16.37","8","0.0","00:19:40","00:25:47","--","--"
Pool Swimming,2022-12-16 06:02:58,false,"Pool Swimming","1,000","239","00:26:47","142","163","3.2","0","0","2:30","2:03","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","664","108","26","0","0:00","0.0","0:00","No","01:43.34.8","3","0.0","00:25:04","00:26:58","--","--"
Pool Swimming,2022-12-14 06:03:59,false,"Pool Swimming","1,000","240","00:28:14","134","165","2.9","0","0","2:29","2:13","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","657","108","26","0","0:00","0.0","0:00","No","01:17.45.7","5","0.0","00:24:53","00:28:20","--","--"
Pool Swimming,2022-12-06 06:03:06,false,"Pool Swimming","1,000","240","00:26:48","139","161","3.2","0","0","2:31","2:05","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","656","108","26","0","0:00","0.0","0:00","No","01:39.89.8","3","0.0","00:25:08","00:26:59","--","--"
Pool Swimming,2022-12-02 06:04:25,false,"Pool Swimming","1,000","238","00:27:13","142","162","3.2","0","0","2:32","2:02","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","655","109","26","0","0:00","0.0","0:00","No","01:49.50.2","3","0.0","00:25:24","00:27:25","--","--"
Pool Swimming,2022-11-29 06:02:15,false,"Pool Swimming","1,000","241","00:26:25","141","159","3.2","0","0","2:16","0:24","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","578","97","26","0","0:00","0.0","0:00","No","01:47.53.2","5","0.0","00:22:36","00:26:30","--","--"
Pool Swimming,2022-11-26 14:38:26,false,"Pool Swimming","1,000","240","00:30:34","151","172","3.7","0","0","2:28","1:52","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","637","106","26","0","0:00","0.0","0:00","No","00:15.97.2","8","0.0","00:24:42","00:30:41","--","--"
Pool Swimming,2022-11-24 06:03:31,false,"Pool Swimming","900","226","00:26:18","147","162","3.3","0","0","2:33","2:07","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","567","108","25","0","0:00","0.0","0:00","No","00:06.81.8","6","0.0","00:22:56","00:26:23","--","--"
Pool Swimming,2022-11-22 06:02:45,false,"Pool Swimming","800","190","00:21:01","152","168","3.4","0","0","2:30","1:50","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","510","107","25","0","0:00","0.0","0:00","No","00:06.26.1","4","0.0","00:20:01","00:21:08","--","--"
Pool Swimming,2022-11-17 06:04:17,false,"Pool Swimming","900","217","00:22:02","137","164","3.0","0","0","2:12","0:25","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","508","94","26","0","0:00","0.0","0:00","No","02:17.36.3","3","0.0","00:19:44","00:22:09","--","--"
Pool Swimming,2022-11-15 06:02:50,false,"Pool Swimming","1,000","239","00:26:32","144","162","3.4","0","0","2:27","1:58","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","626","105","26","0","0:00","0.0","0:00","No","00:04.50.2","4","0.0","00:24:26","00:26:37","--","--"
Pool Swimming,2022-11-10 06:04:20,false,"Pool Swimming","850","205","00:21:37","135","170","2.8","0","0","2:20","0:37","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","498","99","25","0","0:00","0.0","0:00","No","00:04.15.8","4","0.0","00:19:46","00:21:43","--","--"
Pool Swimming,2022-11-08 06:02:57,false,"Pool Swimming","850","205","00:22:34","133","162","2.8","0","0","2:14","0:38","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","481","95","25","0","0:00","0.0","0:00","No","00:04.41.4","6","0.0","00:19:01","00:22:40","--","--"
Pool Swimming,2022-11-06 09:34:45,false,"Pool Swimming","1,000","240","00:28:21","142","166","3.4","0","0","2:23","1:29","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","605","102","25","0","0:00","0.0","0:00","No","00:02.12.2","9","0.0","00:23:51","00:28:33","--","--"
Pool Swimming,2022-11-04 06:04:03,false,"Pool Swimming","1,000","240","00:27:36","139","166","3.2","0","0","2:23","1:54","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","619","102","26","0","0:00","0.0","0:00","No","01:43.23.7","5","0.0","00:23:49","00:27:43","--","--"
Pool Swimming,2022-10-13 06:03:58,false,"Pool Swimming","1,000","256","00:29:47","146","181","3.4","0","0","2:30","1:57","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","649","107","26","0","0:00","0.0","0:00","No","00:05.06.6","8","0.0","00:25:00","00:29:52","--","--"
Pool Swimming,2022-10-11 06:04:35,false,"Pool Swimming","1,000","247","00:27:47","142","181","3.3","0","0","2:26","1:54","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","637","105","26","0","0:00","0.0","0:00","No","00:06.68.4","6","0.0","00:24:17","00:27:53","--","--"
Pool Swimming,2022-10-06 06:04:12,false,"Pool Swimming","800","192","00:23:25","155","178","3.4","0","0","2:20","1:54","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","489","100","26","0","0:00","0.0","0:00","No","00:52.32.7","6","0.0","00:18:38","00:23:31","--","--"
Pool Swimming,2022-10-04 06:02:59,false,"Pool Swimming","800","191","00:22:57","136","163","2.7","0","0","2:23","1:57","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","485","102","25","0","0:00","0.0","0:00","No","00:07.35.9","6","0.0","00:19:05","00:23:06","--","--"
